Robot,Trajectory,X,Y,Timestep,Congestion,Velocity
F00,1,-0.574997,0.555304,24.125,1,9.050966799196861e-05
F00,1,-0.574997,0.555304,24.15625,1,0.0
F00,1,-0.574997,0.555304,24.1875,1,0.0
F00,1,-0.574997,0.555304,24.21875,1,0.0
F00,1,-0.574997,0.555304,24.25,1,0.0
F00,1,-0.574997,0.555304,24.28125,1,0.0
F00,1,-0.574997,0.555304,24.3125,1,0.0
F00,1,-0.574997,0.555304,24.34375,1,0.0
F00,1,-0.574997,0.555304,24.375,1,0.0
F00,1,-0.574982,0.555288,24.40625,1,0.0007018147903828563
F00,1,-0.57498,0.555287,24.4375,1,7.155417527887322e-05
F00,1,-0.57498,0.555287,24.46875,1,0.0
F00,1,-0.572636,0.552953,24.5,1,0.10585129856548671
F00,1,-0.569092,0.549425,24.53125,1,0.16002150255512465
F00,1,-0.565549,0.545897,24.5625,1,0.15999882559569356
F00,1,-0.562005,0.54237,24.59375,1,0.1599989279964074
F00,1,-0.558462,0.538842,24.625,1,0.15999882559568854
F00,1,-0.554919,0.535314,24.65625,1,0.15999882559569104
F00,1,-0.551375,0.531787,24.6875,1,0.1599989279964099
F00,1,-0.547832,0.528259,24.71875,1,0.15999882559568854
F00,1,-0.544289,0.524731,24.75,1,0.15999882559569104
F00,1,-0.540745,0.521203,24.78125,1,0.16002150255512465
F00,1,-0.537202,0.517676,24.8125,1,0.15997624783698408
F00,1,-0.533659,0.514148,24.84375,1,0.15999882559568854
F00,1,-0.530115,0.51062,24.875,1,0.16002150255512715
F00,1,-0.526572,0.507093,24.90625,1,0.15997624783698156
F00,1,-0.523029,0.503565,24.9375,1,0.15999882559569106
F00,1,-0.519485,0.500037,24.96875,1,0.16002150255512715
F00,1,-0.515942,0.496509,25.0,1,0.15999882559568854
F00,1,-0.512399,0.492982,25.03125,1,0.1599762478369828
F00,1,-0.508855,0.489454,25.0625,1,0.16002150255512718
F00,1,-0.505312,0.485926,25.09375,1,0.15999882559568854
F00,1,-0.501769,0.482399,25.125,1,0.1599762478369828
F00,1,-0.498225,0.478871,25.15625,1,0.16002150255512715
F00,1,-0.494682,0.475343,25.1875,1,0.15999882559568854
F00,1,-0.491138,0.471816,25.21875,1,0.15999892799640864
F00,1,-0.487595,0.468288,25.25,1,0.15999882559569104
F00,1,-0.484052,0.46476,25.28125,1,0.1599988255956898
F00,1,-0.480508,0.461232,25.3125,1,0.1600215025551259
F00,1,-0.476965,0.457705,25.34375,1,0.15997624783698408
F00,1,-0.473422,0.454177,25.375,1,0.15999882559568854
F00,1,-0.469878,0.450649,25.40625,1,0.16002150255512465
F00,1,-0.466335,0.447122,25.4375,1,0.15997624783698408
F00,1,-0.462792,0.443594,25.46875,1,0.15999882559569104
F00,1,-0.459248,0.440066,25.5,1,0.16002150255512465
F00,1,-0.455705,0.436539,25.53125,1,0.1599762478369828
F00,1,-0.452162,0.433011,25.5625,1,0.15999882559569104
F00,1,-0.448618,0.429483,25.59375,1,0.16002150255512465
F00,1,-0.445075,0.425955,25.625,1,0.15999882559569104
F00,1,-0.441532,0.422428,25.65625,1,0.15997624783698283
F00,1,-0.437988,0.4189,25.6875,1,0.1600215025551259
F00,1,-0.434445,0.415372,25.71875,1,0.15999882559568854
F00,1,-0.430902,0.411845,25.75,1,0.15997624783698408
F00,1,-0.427358,0.408317,25.78125,1,0.1600215025551259
F00,1,-0.423815,0.404789,25.8125,1,0.1599988255956898
F00,1,-0.420272,0.401262,25.84375,1,0.15997624783698408
F00,1,-0.416728,0.397734,25.875,1,0.1600215025551259
F00,1,-0.413185,0.394206,25.90625,1,0.15999882559568854
F00,1,-0.411986,0.393012,25.9375,1,0.054147527071880974
F00,1,-0.411986,0.393012,25.96875,1,0.0
F00,1,-0.411986,0.393012,26.0,1,0.0
F00,1,-0.411986,0.393012,26.03125,1,0.0
F00,1,-0.411986,0.393012,26.0625,1,0.0
F00,1,-0.411986,0.393012,26.09375,1,0.0
F00,1,-0.411986,0.393012,26.125,1,0.0
F00,1,-0.411986,0.393012,26.15625,1,0.0
F00,1,-0.411986,0.393012,26.1875,1,0.0
F00,1,-0.411986,0.393012,26.21875,1,0.0
F00,1,-0.411986,0.393012,26.25,1,0.0
F00,1,-0.411986,0.393012,26.28125,1,0.0
F00,1,-0.411986,0.393012,26.3125,1,0.0
F00,1,-0.411986,0.393012,26.34375,1,0.0
F00,1,-0.411986,0.393012,26.375,1,0.0
F00,1,-0.411986,0.393012,26.40625,1,0.0
F00,1,-0.411986,0.393012,26.4375,1,0.0
F00,1,-0.411986,0.393012,26.46875,1,0.0
F00,1,-0.411986,0.393012,26.5,1,0.0
F00,1,-0.411986,0.393012,26.53125,1,0.0
F00,1,-0.411986,0.393012,26.5625,1,0.0
F00,1,-0.411986,0.393012,26.59375,1,0.0
F00,1,-0.411986,0.393012,26.625,1,0.0
F00,1,-0.411986,0.393012,26.65625,1,0.0
F00,1,-0.411986,0.393012,26.6875,1,0.0
F00,1,-0.411986,0.393012,26.71875,1,0.0
F00,1,-0.411986,0.393012,26.75,1,0.0
F00,1,-0.411986,0.393012,26.78125,1,0.0
F00,1,-0.411986,0.393012,26.8125,1,0.0
F00,1,-0.411986,0.393012,26.84375,1,0.0
F00,1,-0.411986,0.393012,26.875,1,0.0
F00,1,-0.411986,0.393012,26.90625,1,0.0
F00,1,-0.411986,0.393012,26.9375,1,0.0
F00,1,-0.411986,0.393012,26.96875,1,0.0
F00,1,-0.411986,0.393012,27.0,1,0.0
F00,1,-0.411986,0.393012,27.03125,1,0.0
F00,1,-0.413556,0.390101,27.0625,1,0.10583644317530637
F00,1,-0.415943,0.385707,27.09375,1,0.16001601519847855
F00,1,-0.418332,0.381315,27.125,1,0.15999035170909506
F00,1,-0.420721,0.376923,27.15625,1,0.15999035170909592
F00,1,-0.423109,0.37253,27.1875,1,0.1600031775684481
F00,1,-0.425498,0.368138,27.21875,1,0.1599903517090935
F00,1,-0.427887,0.363745,27.25,1,0.16001846293475158
F00,1,-0.430276,0.359353,27.28125,1,0.15999035170909506
F00,1,-0.432665,0.35496,27.3125,1,0.16001846293475003
F00,1,-0.435053,0.350568,27.34375,1,0.15997506365680894
F00,1,-0.437442,0.346175,27.375,1,0.16001846293474917
F00,1,-0.439831,0.341783,27.40625,1,0.15999035170909592
F00,1,-0.44222,0.33739,27.4375,1,0.16001846293474917
F00,1,-0.444609,0.332998,27.46875,1,0.15999035170909506
F00,1,-0.446997,0.328606,27.5,1,0.15997506365680894
F00,1,-0.449386,0.324213,27.53125,1,0.16001846293475158
F00,1,-0.451775,0.319821,27.5625,1,0.1599903517090935
F00,1,-0.454164,0.315428,27.59375,1,0.16001846293475158
F00,1,-0.456553,0.311036,27.625,1,0.15999035170909506
F00,1,-0.458941,0.306643,27.65625,1,0.1600031775684465
F00,1,-0.45975,0.305157,27.6875,1,0.05414223164960943
F00,1,-0.45975,0.305157,27.71875,1,0.0
F00,1,-0.45975,0.305157,27.75,1,0.0
F00,1,-0.45975,0.305157,27.78125,1,0.0
F00,1,-0.45975,0.305157,27.8125,1,0.0
F00,1,-0.45975,0.305157,27.84375,1,0.0
F00,1,-0.45975,0.305157,27.875,1,0.0
F00,1,-0.45975,0.305157,27.90625,1,0.0
F00,1,-0.459766,0.305141,27.9375,1,0.0007240773439357489
